Time:512Hz,Epoch,Electrode,Attention,Meditation,Event Id,Event Date,Event Duration
0.0000000000,0,113.0000000000,53.0000000000,38.0000000000,,,
0.0019531250,0,120.0000000000,53.0000000000,38.0000000000,,,
0.0039062500,0,128.0000000000,53.0000000000,38.0000000000,,,
0.0058593750,0,116.0000000000,53.0000000000,38.0000000000,,,
0.0078125000,0,103.0000000000,53.0000000000,38.0000000000,,,
0.0097656250,0,123.0000000000,53.0000000000,38.0000000000,,,
0.0117187500,0,169.0000000000,53.0000000000,38.0000000000,,,
0.0136718750,0,197.0000000000,53.0000000000,38.0000000000,,,
0.0156250000,0,200.0000000000,53.0000000000,38.0000000000,,,
0.0175781250,0,185.0000000000,53.0000000000,38.0000000000,,,
0.0195312500,0,193.0000000000,53.0000000000,38.0000000000,,,
0.0214843750,0,224.0000000000,53.0000000000,38.0000000000,,,
0.0234375000,0,214.0000000000,53.0000000000,38.0000000000,,,
0.0253906250,0,165.0000000000,53.0000000000,38.0000000000,,,
0.0273437500,0,129.0000000000,53.0000000000,38.0000000000,,,
0.0292968750,0,132.0000000000,53.0000000000,38.0000000000,,,
0.0312500000,0,135.0000000000,53.0000000000,38.0000000000,,,
0.0332031250,0,104.0000000000,53.0000000000,38.0000000000,,,
0.0351562500,0,60.0000000000,53.0000000000,38.0000000000,,,
0.0371093750,0,25.0000000000,53.0000000000,38.0000000000,,,
0.0390625000,0,-20.0000000000,53.0000000000,38.0000000000,,,
0.0410156250,0,-49.0000000000,53.0000000000,38.0000000000,,,
0.0429687500,0,-36.0000000000,53.0000000000,38.0000000000,,,
0.0449218750,0,-10.0000000000,53.0000000000,38.0000000000,,,
0.0468750000,0,8.0000000000,53.0000000000,38.0000000000,,,
0.0488281250,0,34.0000000000,53.0000000000,38.0000000000,,,
0.0507812500,0,50.0000000000,53.0000000000,38.0000000000,,,
0.0527343750,0,56.0000000000,53.0000000000,38.0000000000,,,
0.0546875000,0,57.0000000000,53.0000000000,38.0000000000,,,
0.0566406250,0,32.0000000000,53.0000000000,38.0000000000,,,
0.0585937500,0,-9.0000000000,53.0000000000,38.0000000000,,,
0.0605468750,0,-34.0000000000,53.0000000000,38.0000000000,,,
0.0625000000,1,-29.0000000000,53.0000000000,38.0000000000,,,
0.0644531250,1,-26.0000000000,53.0000000000,38.0000000000,,,
0.0664062500,1,-25.0000000000,53.0000000000,38.0000000000,,,
0.0683593750,1,-9.0000000000,53.0000000000,38.0000000000,,,
0.0703125000,1,-2.0000000000,53.0000000000,38.0000000000,,,
0.0722656250,1,-30.0000000000,53.0000000000,38.0000000000,,,
0.0742187500,1,-67.0000000000,53.0000000000,38.0000000000,,,
0.0761718750,1,-75.0000000000,53.0000000000,38.0000000000,,,
0.0781250000,1,-54.0000000000,53.0000000000,38.0000000000,,,
0.0800781250,1,-26.0000000000,53.0000000000,38.0000000000,,,
0.0820312500,1,-17.0000000000,53.0000000000,38.0000000000,,,
0.0839843750,1,-6.0000000000,53.0000000000,38.0000000000,,,
0.0859375000,1,18.0000000000,53.0000000000,38.0000000000,,,
0.0878906250,1,34.0000000000,53.0000000000,38.0000000000,,,
0.0898437500,1,41.0000000000,53.0000000000,38.0000000000,,,
0.0917968750,1,50.0000000000,53.0000000000,38.0000000000,,,
0.0937500000,1,55.0000000000,53.0000000000,38.0000000000,,,
0.0957031250,1,57.0000000000,53.0000000000,38.0000000000,,,
0.0976562500,1,57.0000000000,53.0000000000,38.0000000000,,,
0.0996093750,1,43.0000000000,53.0000000000,38.0000000000,,,
